Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:11,032",GET,/api/v1/preserveservice/welcome,34.515291918069124,33
"2024-06-25 20:34:11,032",GET,/api/v1/preserveservice/welcome,34.805041970685124,33
"2024-06-25 20:34:11,032",GET,/api/v1/travel2service/trips,30.140332994051278,1588
"2024-06-25 20:34:11,032",GET,/api/v1/priceservice/prices,34.1733330860734,1685
"2024-06-25 20:34:11,034",GET,/api/v1/configservice/configs,49.01316692121327,191
"2024-06-25 20:34:11,034",GET,/api/v1/adminuserservice/users,53.760208073072135,235
"2024-06-25 20:34:11,034",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,47.82083292957395,66
"2024-06-25 20:34:11,034",GET,/api/v1/executeservice/welcome,43.82345802150667,32
"2024-06-25 20:34:11,034",GET,/api/v1/configservice/configs,49.94679207447916,191
"2024-06-25 20:34:11,035",GET,/api/v1/executeservice/welcome,44.3303749198094,32
"2024-06-25 20:34:11,035",POST,/api/v1/stationfoodservice/stationfoodstores,34.70504202414304,1858
"2024-06-25 20:34:11,035",GET,/api/v1/foodservice/orders,43.03649999201298,43
"2024-06-25 20:34:11,035",GET,/api/v1/trainfoodservice/trainfoods,34.27291696425527,1011
"2024-06-25 20:34:11,035",GET,/api/v1/trainservice/trains,34.00083293672651,843
"2024-06-25 20:34:11,036",GET,/api/v1/securityservice/securityConfigs,35.82700004335493,283
"2024-06-25 20:34:11,036",GET,/api/v1/trainservice/trains,34.606375033035874,843
"2024-06-25 20:34:11,036",GET,/api/v1/adminbasicservice/adminbasic/prices,61.58070906531066,1685
"2024-06-25 20:34:11,036",GET,/api/v1/contactservice/contacts,46.48250003810972,459
"2024-06-25 20:34:11,038",GET,/api/v1/foodservice/orders,44.95862498879433,43
"2024-06-25 20:34:11,038",GET,/api/v1/waitorderservice/orders,35.11775005608797,44
"2024-06-25 20:34:11,043",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,56.48433405440301,66
"2024-06-25 20:34:11,044",GET,/api/v1/waitorderservice/orders,40.0238330475986,44
"2024-06-25 20:34:11,044",GET,/api/v1/travelservice/train_types/%7BtripId%7D,41.590250097215176,43
"2024-06-25 20:34:11,046",GET,/api/v1/adminbasicservice/adminbasic/contacts,74.11416701506823,459
"2024-06-25 20:34:11,046",GET,/api/v1/configservice/configs,60.87675003800541,191
"2024-06-25 20:34:11,046",GET,/api/v1/contactservice/contacts,58.30933398101479,459
"2024-06-25 20:34:11,046",GET,/api/v1/fooddeliveryservice/orders/all,54.728500079363585,42
"2024-06-25 20:34:11,046",GET,/api/v1/trainfoodservice/trainfoods,45.328875072300434,1011
"2024-06-25 20:34:11,047",GET,/api/v1/foodservice/orders,55.205457960255444,43
"2024-06-25 20:34:11,048",GET,/api/v1/fooddeliveryservice/orders/all,56.30399996880442,42
"2024-06-25 20:34:11,048",GET,/api/v1/fooddeliveryservice/orders/all,56.69816699810326,42
"2024-06-25 20:34:11,048",GET,/api/v1/adminbasicservice/adminbasic/contacts,77.882666955702,459
"2024-06-25 20:34:11,050",GET,/api/v1/travelservice/train_types/%7BtripId%7D,46.873916988261044,43
"2024-06-25 20:34:11,051",GET,/api/v1/adminbasicservice/adminbasic/contacts,78.79541697911918,459
"2024-06-25 20:34:11,052",GET,/api/v1/cancelservice/welcome,67.97433295287192,31
"2024-06-25 20:34:11,052",GET,/api/v1/basicservice/basic/xuzhou,68.7498749466613,74
"2024-06-25 20:34:11,053",GET,/api/v1/adminbasicservice/adminbasic/prices,78.19454208947718,1685
"2024-06-25 20:34:11,056",GET,/api/v1/contactservice/contacts,66.35700003243983,459
"2024-06-25 20:34:11,058",GET,/api/v1/cancelservice/welcome,73.3972080051899,31
